name,address,brand,gasoline,diesel,self,wash,charging,center,store,night,gu,lat,lng
청계로주유소,서울 성동구 청계천로 454 (하왕십리동),SK에너지,"2,095","1,995",N,Y,N,N,N,N,성동구,37.5700973,127.0274044
원천주유소,서울 성북구 돌곶이로 142,GS칼텍스,"1,573","1,413",Y,Y,N,N,N,N,성북구,37.614895,127.0527317
이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),GS칼텍스,"1,575","1,415",Y,Y,N,N,N,Y,성북구,37.5797789,127.0223627
이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,HD현대오일뱅크,"1,575","1,415",Y,Y,N,N,N,N,성북구,37.609185,127.0100314
(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),GS칼텍스,"1,575","1,415",Y,Y,N,Y,N,N,성북구,37.6076426,127.0099487
지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),GS칼텍스,"1,595","1,435",Y,Y,N,N,N,Y,성북구,37.6027636,127.0320634
중앙에너비스 종암지점,서울 성북구 종암로 58,SK에너지,"1,595","1,435",Y,Y,N,N,N,Y,성북구,37.5956086,127.0360473
장삼 쌍둥이 주유소,서울 성북구 한천로 612 (장위동),HD현대오일뱅크,"1,614","1,444",Y,Y,N,N,N,N,성북구,37.6136043,127.0602993
HD현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),HD현대오일뱅크,"1,615","1,455",Y,Y,N,N,N,N,성북구,37.6055001,127.0085818
HD현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),HD현대오일뱅크,"1,615","1,445",Y,Y,N,N,N,N,성북구,37.5916521,127.0366717
(주)성북주유소,서울 성북구 보문로 142,HD현대오일뱅크,"1,615","1,445",Y,Y,N,N,N,N,성북구,37.58757749999999,127.018447
장위주유소,서울 성북구 화랑로 110 (하월곡동),S-OIL,"1,624","1,444",Y,Y,N,N,N,Y,성북구,37.6046451,127.0393912
㈜명연에너지 효성주유소,서울 성북구 화랑로 27,GS칼텍스,"1,625","1,515",Y,Y,N,N,N,Y,성북구,37.6031281,127.0351726
(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,S-OIL,"1,633","1,483",Y,Y,N,Y,N,N,성북구,37.6068678,127.0500641
우리주유소,서울 성북구 화랑로 292,SK에너지,"1,634","1,475",Y,Y,N,Y,N,Y,성북구,37.6126118,127.0614248
